og_id;ae_rva;confidence_tier;evidence;replacement_strategy;allow_candidate_correction
764;0x103BEC0;high;targeted_ida_console_data_queue_lock_and_string_append;id_only;yes
109149;0x169CF90;high;targeted_ida_reader_stream_vtable_slot_2;id_only;yes
239190;0x385B30;high;targeted_ida_workshop_recipe_conditions_and_keyword_flow;id_only;no
426990;0xAEAC60;high;targeted_ida_pipboy_player_info_vtable_slot_2;id_only;no
472297;0x3517E0;high;targeted_ida_localized_text_delocalized_and_id_marker_flow;id_only;yes
571037;0x20F9870;high;targeted_ida_native_function_vtable_slot_15;id_only;no
583584;0xA72880;high;targeted_ida_game_menu_base_vtable_slot_19;id_only;yes
762048;0x169CBE0;high;targeted_ida_reader_stream_vtable_slot_1;id_only;yes
772817;0x169D340;high;targeted_ida_reader_stream_vtable_slot_3;id_only;no
803750;0x16A21C0;high;targeted_ida_async_reader_stream_vtable_slot_5;id_only;yes
855081;0x169CAD0;high;targeted_ida_reader_stream_vtable_slot_5;id_only;yes
893703;0xAED9B0;high;targeted_ida_pipboy_sub_menu_vtable_slot_1;id_only;yes
918408;0x16A7FC0;high;targeted_ida_register_location_flush_and_insert_flow;id_only;no
1000164;0x169CE30;high;targeted_ida_reader_stream_vtable_slot_9;id_only;yes
1182457;0x768EB0;high;targeted_ida_condition_function_filter_and_is_true_flow;id_only;yes
1309368;0x389910;high;targeted_ida_recursive_workshop_node_crc_flow;id_only;no
1359347;0x169CD70;high;targeted_ida_reader_stream_vtable_slot_6;id_only;no
60674;0x2F23E18;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
187113;0x2F23E90;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
452591;0x2F23E60;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
719279;0x2F23E30;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
844985;0x2F23EA8;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
901511;0x2EEF130;high;address_library_preserved_id_and_script_global_context;id_only;no
1110986;0x2F23E78;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
1376729;0x2F23E48;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
1503497;0x2F23EC0;high;address_library_preserved_id_and_menu_cursor_global_layout;id_only;no
526625;0x5B2370;high;preexisting_ae_id_matches_official_address_library;id_only;no
1207169;0x1A79DE0;high;preexisting_ae_id_matches_official_address_library;id_only;no
33420;0x2500B0;high;targeted_ida_container_attachment_and_property_copy_semantics;id_only;yes
1257084;0x1A8B010;high;targeted_ida_string_and_bool_payload_semantics;id_only;yes
1388308;0x1A8B3B0;high;targeted_ida_bool_payload_semantics;id_only;yes
750682;0x38DDC0;high;targeted_ida_workshop_update_callgraph_and_power_link_cleanup;id_only;yes
1425097;0x1665090;high;targeted_ida_memory_manager_callgraph_and_bsthread_event_source_vtable;id_only;yes
1159379;0x1665130;high;targeted_ida_bsthread_event_source_register_sink;id_only;yes
454294;0x1665150;high;targeted_ida_bsthread_event_source_unregister_sink;id_only;yes
1331907;0x1665170;high;targeted_ida_bsthread_event_source_destroy_and_clear;id_only;yes
69438;0x2E6040;high;targeted_ida_projectile_launch_and_cell_selection_semantics;id_only;no
1200959;0x3478F0;high;targeted_ida_inventory_agent_lookup_and_item_resolution_semantics;id_only;no
817670;0x479580;high;targeted_ida_melee_attack_speed_crc_lookup_semantics;id_only;no
1163130;0xC682F0;high;targeted_ida_default_animation_switch_entry_and_split_helper_flow;id_only;no
1109888;0xC6E560;high;targeted_ida_trespass_alarm_callgraph_and_control_flow;id_only;no
1238666;0xCC9FE0;high;targeted_ida_body_part_cripple_check_semantics;id_only;no
765218;0xCCF9A0;high;targeted_ida_start_combat_callgraph_and_control_flow;id_only;no
1277201;0xCD0980;high;targeted_ida_current_weapon_template_inlining_semantics;id_only;no
663107;0xCD5D30;high;targeted_ida_fire_location_rotation_and_offset_semantics;id_only;no
988029;0xCE5A90;high;targeted_ida_actor_equip_manager_callgraph_and_control_flow;id_only;no
1200276;0xCF3090;high;targeted_ida_equipped_item_callgraph_and_control_flow;id_only;no
1446774;0xCFAD40;high;targeted_ida_special_idle_callgraph_and_control_flow;id_only;no
666002;0xCFE150;high;targeted_ida_weapon_animation_subgraph_loading_semantics;id_only;no
795983;0xD31850;high;targeted_ida_current_ammo_update_callgraph_and_control_flow;id_only;no
770140;0x34C0E0;high;targeted_ida_inventory_stack_find_write_and_merge_semantics;id_only;no
420470;0x6CAFC0;high;targeted_ida_resistance_formula_and_inlined_factor_lookup;id_only;no
559542;0xDABF90;high;targeted_ida_package_targeting_callgraph_and_control_flow;id_only;no
1053584;0xDB5830;high;targeted_ida_hostile_actor_detection_callgraph_and_control_flow;id_only;no
1575156;0xEF27F0;high;targeted_ida_projectile_trajectory_intersection_and_gravity_semantics;id_only;no
55339;0xEF30E0;high;targeted_ida_projectile_los_pick_data_callgraph_and_control_flow;id_only;no
798616;0xEF34B0;high;targeted_ida_projectile_los_positions_callgraph_and_control_flow;id_only;no
1173627;0x665D30;high;targeted_ida_actor_sneaking_state_and_power_armor_semantics;id_only;no
1354005;0x34E550;high;targeted_ida_inventory_list_stack_write_iteration_semantics;id_only;no
1387488;0x989750;high;targeted_ida_power_armor_limb_coverage_semantics;id_only;no
1078979;0x98C160;high;targeted_ida_power_armor_furniture_inventory_sync_callgraph;id_only;no
646841;0xA67550;high;targeted_ida_weapon_scrapping_inventory_callgraph;id_only;no
1035436;0xB3FA90;high;targeted_ida_armor_slot_overlap_exact_semantics;id_only;no
928518;0xB3FC70;high;targeted_ida_inventory_damage_type_collection_callgraph;id_only;no
1578434;0xB400F0;high;targeted_ida_inventory_resist_type_collection_callgraph;id_only;no
1415178;0xB74340;high;targeted_ida_displacement_effect_iteration_semantics;id_only;no
737625;0xC76C50;high;targeted_ida_actor_movement_callgraph_and_control_flow;id_only;no
1180004;0xC87860;high;targeted_ida_closest_bone_scene_pick_and_position_update_semantics;id_only;no
1468462;0xD303E0;high;targeted_ida_equipped_weapon_fire_sound_setup_callgraph;id_only;no
405390;0x263120;high;targeted_ida_actor_value_singleton_initialization_semantics;id_only;no
862142;0x2DDB20;high;targeted_ida_cell_event_source_singleton_initialization_semantics;id_only;no
679373;0xA40460;high;targeted_ida_inventory_item_display_data_population_semantics;id_only;no
147297;0x254DD0;high;targeted_ida_instance_data_creation_callgraph_and_control_flow;id_only;no
1359613;0x4332A0;high;targeted_ida_loose_mod_crc_map_lookup_exact_semantics;id_only;no
123132;0x433320;high;targeted_ida_loose_mod_map_insert_and_remove_semantics;id_only;no
410363;0x434450;high;targeted_ida_loose_mod_form_iteration_semantics;id_only;no
817930;0x4FF5A0;high;targeted_ida_reference_scale_update_callgraph_and_control_flow;id_only;no
564356;0x501A20;high;targeted_ida_gold_inventory_count_semantics;id_only;no
635042;0x507670;high;targeted_ida_reference_item_count_callgraph_and_control_flow;id_only;no
1568075;0x50F990;high;targeted_ida_reference_3d_update_callgraph_and_control_flow;id_only;no
777738;0x5107D0;high;targeted_ida_reference_object_center_semantics;id_only;no
340319;0x5123E0;high;targeted_ida_bendable_spline_rebuild_callgraph_and_control_flow;id_only;no
1049748;0x5137A0;high;targeted_ida_reference_angle_update_semantics;id_only;no
753531;0x514190;high;targeted_ida_reference_activation_callgraph_and_control_flow;id_only;no
1396707;0x515650;high;targeted_ida_reference_enable_callgraph_and_control_flow;id_only;no
930785;0x563180;high;targeted_ida_reference_lock_and_linked_door_semantics;id_only;no
1583365;0x3832B0;high;targeted_ida_workshop_free_build_condition_semantics;id_only;no
990965;0x3841B0;high;targeted_ida_workshop_buildable_area_primitive_and_radius_semantics;id_only;no
905705;0x385400;high;targeted_ida_nearest_workshop_loaded_cell_iteration_semantics;id_only;no
763948;0x389A90;high;targeted_ida_selected_workshop_menu_node_traversal_semantics;id_only;no
2562;0x392A40;high;targeted_ida_selected_workshop_item_callgraph_and_control_flow;id_only;no
1058211;0x398990;high;targeted_ida_workshop_reference_placement_callgraph_and_control_flow;id_only;no
1577199;0x39F7B0;high;targeted_ida_workshop_placement_reference_creation_semantics;id_only;no
